id,theta,E,ra,dec
130135017500,51.52,48.4463,12.04,-29.96
62101883600,37.64,48.4374,179.4,-61.81
63658490000,6.36,48.3966,198.21,-38.18
160622283500,45.91,48.3951,305.01,-56.43
92571034000,75.3709,48.374,355.227,-67.2478
93606002700,33.38,48.3606,75.27,-8.13
142520922600,61.3058,48.3479,167.781,19.0344
172728316200,63.0906,48.2495,146.786,15.0837
120211990500,44.84,48.2045,329.97,6.95
140145941600,25.7,48.2012,144.75,-42.37
132396032500,26.46,48.2006,10.96,-34.77
131512637300,36.71,48.1894,143.81,-14.78
130173838600,65.4698,48.1733,0.866578,24.8917
140716704600,36.15,48.1576,201.1,1.18
112217090300,29.57,48.0654,352.82,-7.52
151176022500,76.4428,48.0603,201.3,39.7128
100895791900,29.03,47.9662,184.28,-6.3
101574242900,75.104,47.9172,102.802,-11.8349
92990106000,63.5895,47.9143,56.1919,-55.6877
162582642400,29.23,47.885,178.27,-42.91
180947342700,26.82,47.8663,264.66,-11.63
80632650800,27.63,47.8571,40.26,-60.74
110380197900,13.7,47.8561,272.66,-39.57
180484964600,39.33,47.8525,55.31,-53.17
121913190000,39.34,47.8487,207.24,-69.44
132170145400,13.03,47.8176,56.35,-41.38
140138081800,17.86,47.6971,216.15,-22.71
181923700500,32.17,47.546,169.98,-63.51
140403059000,23.81,47.5119,37.96,-18.89
80740683300,77.7181,47.4835,25.8671,1.09126
50812535300,21.86,47.4712,24.29,-16.55
163107446800,16.62,47.4413,112.25,-51.61
43417230400,64.8912,47.4029,197.027,-13.4518
162641567500,42.2,47.3959,205.34,-75.15
180195053200,33.15,47.3778,121.67,-36.86
61211418500,42.42,47.3762,52.41,1.43
170211744900,58.68,47.3758,22.65,-42.95
